,Year,Month,Jurisdiction,Number,Time
203,1991,June,Saskatchewan,75.0,1991-06-01
180,1991,June,Prince Edward Island,8.0,1991-06-01
125,1991,June,British Columbia,291.0,1991-06-01
170,1991,June,Ontario,415.0,1991-06-01
149,1991,June,Newfoundland and Labrador,38.0,1991-06-01
192,1991,June,Quebec,408.0,1991-06-01
114,1991,June,Alberta,114.0,1991-06-01
3215,1991,June,Canada,1889.0,1991-06-01
156,1991,June,Nova Scotia,145.0,1991-06-01
143,1991,June,New Brunswick,150.0,1991-06-01
160,1991,June,Northwest Territories,59.0,1991-06-01
135,1991,June,Manitoba,77.0,1991-06-01
209,1991,June,Yukon,109.0,1991-06-01
115,1991,July,Alberta,125.0,1991-07-01
210,1991,July,Yukon,33.0,1991-07-01
193,1991,July,Quebec,318.0,1991-07-01
204,1991,July,Saskatchewan,111.0,1991-07-01
150,1991,July,Newfoundland and Labrador,12.0,1991-07-01
126,1991,July,British Columbia,296.0,1991-07-01
171,1991,July,Ontario,586.0,1991-07-01
3214,1991,July,Canada,2078.0,1991-07-01
136,1991,July,Manitoba,142.0,1991-07-01
161,1991,July,Northwest Territories,149.0,1991-07-01
157,1991,July,Nova Scotia,162.0,1991-07-01
179,1991,July,Prince Edward Island,3.0,1991-07-01
144,1991,July,New Brunswick,141.0,1991-07-01
127,1991,August,British Columbia,573.0,1991-08-01
205,1991,August,Saskatchewan,272.0,1991-08-01
137,1991,August,Manitoba,222.0,1991-08-01
3210,1991,August,Canada,2674.0,1991-08-01
116,1991,August,Alberta,239.0,1991-08-01
145,1991,August,New Brunswick,92.0,1991-08-01
151,1991,August,Newfoundland and Labrador,32.0,1991-08-01
158,1991,August,Nova Scotia,10.0,1991-08-01
162,1991,August,Northwest Territories,117.0,1991-08-01
211,1991,August,Yukon,9.0,1991-08-01
172,1991,August,Ontario,944.0,1991-08-01
175,1991,August,Prince Edward Island,2.0,1991-08-01
194,1991,August,Quebec,162.0,1991-08-01
